@RELATION 'BUG_CRASH'

@ATTRIBUTE Comment string
@ATTRIBUTE Class-Attribute {Crash,Bug,Other}

@DATA
'Cost of the serious bugs in the system remain he system loses receipts it crashes frequently and it is painfully reliant on needless reloading of data',Bug
'it takes ages to refresh he error message is not very specific which requires guess to correct he warning sign did not disappear when the error is corrected',Bug
'uploading file is not working properly',Bug
'the software is extremely glitchy arnings continue to show up no matter how many times you fix the item called out hat a pain to use',Bug
'i have a difficult time loading otel receipts from my email to Concur pp efore the update it used to not be a problem lease fix',Bug
'first  saw a yellow warning that suggested that  should attach a receipt but didnt block me from submitting the report et once  submitted the report then  got a red error that said  needed to attach a receipt before submitting hy wasnt  just told this upfronthe steps to upload a receipt are really confusing',Bug
'errors uploading receipts',Bug
'his program is not working well for us in anama odes are still missing and this expense report took me  days to submit thanks to issues with the program and glitches',Bug
'app is much more difficult to read now! eading with exceptions and total amount takes too large a percentage of the screen on a standard iphone lso difficult to see on the app if a receipt is attached ouve fixed the bug of the business purpose disappearing but made it more difficult to use and see when it used to be really good for this!!',Bug
'experienced a lot of loading errors this time',Bug
'sometimes when uploading receipts their are errors also there are a lot of glitches with the mobile app',Bug
'slow unresponsive obile app didnt have the mileage calculator so  had to go to the website and finish the report (so whats the purpose of the app) fter using the calculator on the web the error didnt disappear and  had delete the entry and redo it his seems to happen a lot the error cant be resolved until the report is deleted and redone which is annoying verall  would operate this website in a completely different way',Bug
'receipt uploading is buggy',Bug
'Concur crashesestart  and get following error  } alerts { scrollnterval  *  updatenterval  *  fetchrl irjgoprtrwprtrooterpfwkalerts } hostnames  { concur httpsfederationverizoncom } banners { updatenterval  *  } version   locale en windowitle erizon  ortal portalath irjportal mimesath verizoncom~appl~erpfwk initialoded  isnitialverview false isebugode false updateelectionrl  }',Bug
'mile checking expense items  if we have to move scroll down or select the last one in the window the previous checked items gets uncheckedhis is very frustratingoreover the concur web version of the booking takes at least  mins to book a reservation where the mobile is much fasterhe mobile app has a bug he selected project disappears when the last field is entered',Bug
'crashed on me  times with error messages in some instances  had to wait several minutes for it to return to active mode',Bug
'errors when loading certain html file types',Bug
'hone app keeps freezing regularly get error messages so wont save info',Bug
'very slow system theres a bug where if you fill out the fields before uploading a receipt they are all cleared out when you upload the receipt akes a lot of time and effort to do expenses now the last system was regarded as poor but this is even worse',Bug
'very frustrating!! ot intuitive or userfriendly ake a round trip the default itinerary without having to reenter destinations twice etain comments once entered urrently comments have to be reentered every time the report is opened ther information seems to disappear once the report is reopened ie itemization his has happened on several occasions here is not an option to review the report to check for errors prior to submitting t is difficult to review from the expense window',Bug
'mileage calculator would not work in  just hrome due to blocked pop ups that could not be altered by me ork location was wrong had to manually fix it ome address came up as an approximation despite having a unique address had to manually mess with it to get it correct',Bug
'locked up on me twice while editing showed a duplicate expense and when  deleted one the other still had the error message until  restarted the report',Bug
'for this trip  stayed at the same hotel for the duration but there was a rate change midway through ould have been nice to have the ability to identify blocks of dates with specific rates and taxes dditionally i had a resort fee that had to be applied this was a huge headache or some reason i had to go through each and every single day to update the reason for the resort fee hy cant i select all the days and type it in once its the same ype of charge same cost!lso anytime you have anything charged to your room (internet meals etc) it is a pain to apply those charges  had  meals at the hotel o  couldnt reconcile my hotel charges without an error until i applied a dinner and lunch charge of $ for the duration delete the unused chargesthen update the remaining charges e should be able to add things more dynamically to the lodging charge if you are going to be so restrictive with the errors',Bug
'   very difficult to find how to do a daily allowance after missing on the initial screen  help desk was not easily or very helpful erms did not match the forms so help was very difficult to follow sked for receipts where none are required for expenses $ ad to figure out how to get  receipts printed out to submit ot at all user friendly ept getting an error message with no explanation for uploading a hotel receipt ont know the cause but it may be due to a character in the original name ould not load the receipt till  renamed it t took me over  hours to do a simple   this is really frustrating',Bug
'uploading receipt from mobile app was confusingly buggy',Bug
'expenses were slow uploading images and getting error messages today',Bug
'uploading individual receipt images is time waster ingle file upload did not clear the error lease correct it',Bug
'annot login at certain timesxpense errors cause system crash specifically missing fields',Bug
'it seams to have worked omewhat new user error trying to add transactions before hitting the credit card but system allowed me to correcthe receipt image loading screen is too slow',Bug
'there are a lot of glitches to be fixed for example on this report is a hotel deposit but could not use that category because Concur demanded for itemization',Bug
'receipts not loading window not working correctly',Bug
'the android app has bugs in it when it comes to uploading receipts',Bug
'this app caused my computer to crash several time do to script errors',Bug
